,agent_name,cumulative_regret,exp_name
113,TS (geometric grid),-0.006199999999999983,M=2
114,TS (geometric grid),0.04459999999999997,M=2
115,TS (geometric grid),0.00759999999999994,M=2
116,TS (geometric grid),0.1038,M=2
117,TS (geometric grid),0.0025999999999999357,M=2
118,TS (geometric grid),0.09519999999999995,M=2
119,TS (geometric grid),-0.0021999999999999797,M=2
120,TS (geometric grid),-0.009199999999999986,M=2
121,TS (geometric grid),0.0038000000000000256,M=2
122,TS (geometric grid),0.0464,M=2
123,TS (geometric grid),0.08499999999999996,M=2
124,TS (geometric grid),-0.0044000000000000705,M=2
125,TS (geometric grid),0.006000000000000005,M=2
126,TS (geometric grid),-0.021600000000000064,M=2
127,TS (geometric grid),0.0928,M=2
128,TS (geometric grid),0.10299999999999998,M=2
129,TS (geometric grid),-0.013600000000000056,M=2
130,TS (geometric grid),-0.0040000000000000036,M=2
131,TS (geometric grid),0.09319999999999995,M=2
132,TS (geometric grid),-0.0018000000000000238,M=2
133,TS (geometric grid),-0.0040000000000000036,M=2
134,TS (geometric grid),0.08419999999999994,M=2
135,TS (geometric grid),0.0030000000000000027,M=2
136,TS (geometric grid),-0.008400000000000074,M=2
137,TS (geometric grid),0.0013999999999999568,M=2
138,TS (geometric grid),0.0050000000000000044,M=2
139,TS (geometric grid),-0.01419999999999999,M=2
140,TS (geometric grid),0.0025999999999999357,M=2
141,TS (geometric grid),0.10979999999999995,M=2
142,TS (geometric grid),0.06099999999999994,M=2
143,TS (geometric grid),0.0,M=2
144,TS (geometric grid),0.00539999999999996,M=2
145,TS (geometric grid),0.11019999999999996,M=2
146,TS (geometric grid),-0.01739999999999997,M=2
147,TS (geometric grid),0.014799999999999924,M=2
148,TS (geometric grid),0.10619999999999996,M=2
149,TS (geometric grid),0.08460000000000001,M=2
150,TS (geometric grid),0.1018,M=2
151,TS (geometric grid),0.0011999999999999789,M=2
152,TS (geometric grid),0.0008000000000000229,M=2
153,TS (geometric grid),-0.0018000000000000238,M=2
154,TS (geometric grid),0.00019999999999997797,M=2
155,TS (geometric grid),0.10899999999999999,M=2
156,TS (geometric grid),-0.0016000000000000458,M=2
157,TS (geometric grid),-0.0041999999999999815,M=2
158,TS (geometric grid),0.09899999999999998,M=2
159,TS (geometric grid),-0.0008000000000000229,M=2
160,TS (geometric grid),-0.009800000000000031,M=2
161,TS (geometric grid),-0.005600000000000049,M=2
162,TS (geometric grid),0.09219999999999995,M=2
163,TS (geometric grid),-0.0010000000000000009,M=2
164,TS (geometric grid),0.08740000000000003,M=2
165,TS (geometric grid),-0.0024000000000000687,M=2
166,TS (geometric grid),-0.010199999999999987,M=2
167,TS (geometric grid),-0.0024000000000000687,M=2
168,TS (geometric grid),0.011199999999999988,M=2
169,TS (geometric grid),0.09819999999999995,M=2
170,TS (geometric grid),0.0040000000000000036,M=2
171,TS (geometric grid),-0.0014000000000000679,M=2
172,TS (geometric grid),0.005800000000000027,M=2
173,TS (geometric grid),-0.0046000000000000485,M=2
174,TS (geometric grid),-0.0018000000000000238,M=2
175,TS (geometric grid),-0.0044000000000000705,M=2
176,TS (geometric grid),-0.0034000000000000696,M=2
177,TS (geometric grid),-0.007199999999999984,M=2
178,TS (geometric grid),0.08479999999999999,M=2
179,TS (geometric grid),0.0005999999999999339,M=2
180,TS (geometric grid),-0.008400000000000074,M=2
181,TS (geometric grid),0.0023999999999999577,M=2
182,TS (geometric grid),0.09560000000000002,M=2
183,TS (geometric grid),-0.0028000000000000247,M=2
184,TS (geometric grid),-0.0046000000000000485,M=2
185,TS (geometric grid),-0.0028000000000000247,M=2
186,TS (geometric grid),0.011599999999999944,M=2
187,TS (geometric grid),0.08360000000000001,M=2
188,TS (geometric grid),0.10219999999999996,M=2
189,TS (geometric grid),0.0005999999999999339,M=2
190,TS (geometric grid),0.0038000000000000256,M=2
191,TS (geometric grid),0.09360000000000002,M=2
192,TS (geometric grid),-0.00019999999999997797,M=2
193,TS (geometric grid),0.0040000000000000036,M=2
194,TS (geometric grid),0.01100000000000001,M=2
195,TS (geometric grid),0.10459999999999997,M=2
196,TS (geometric grid),0.014799999999999924,M=2
197,TS (geometric grid),0.007000000000000006,M=2
198,TS (geometric grid),-0.012600000000000056,M=2
199,TS (geometric grid),0.08699999999999997,M=2
200,TS (arithmetic grid),0.03420000000000001,M=2
201,TS (arithmetic grid),0.03500000000000003,M=2
202,TS (arithmetic grid),0.031200000000000006,M=2
203,TS (arithmetic grid),0.024599999999999955,M=2
204,TS (arithmetic grid),0.029000000000000026,M=2
205,TS (arithmetic grid),0.03620000000000001,M=2
206,TS (arithmetic grid),0.03959999999999997,M=2
207,TS (arithmetic grid),0.03859999999999997,M=2
208,TS (arithmetic grid),0.03259999999999996,M=2
209,TS (arithmetic grid),0.03279999999999994,M=2
210,TS (arithmetic grid),0.03400000000000003,M=2
211,TS (arithmetic grid),0.02959999999999996,M=2
212,TS (arithmetic grid),0.036599999999999966,M=2
213,TS (arithmetic grid),0.03279999999999994,M=2
214,TS (arithmetic grid),0.04059999999999997,M=2
215,TS (arithmetic grid),0.03420000000000001,M=2
216,TS (arithmetic grid),0.023599999999999954,M=2
217,TS (arithmetic grid),0.020199999999999996,M=2
218,TS (arithmetic grid),0.03479999999999994,M=2
219,TS (arithmetic grid),0.03259999999999996,M=2
220,TS (arithmetic grid),0.019000000000000017,M=2
221,TS (arithmetic grid),0.03279999999999994,M=2
222,TS (arithmetic grid),0.04259999999999997,M=2
223,TS (arithmetic grid),0.02079999999999993,M=2
224,TS (arithmetic grid),0.04279999999999995,M=2
225,TS (arithmetic grid),0.041999999999999926,M=2
226,TS (arithmetic grid),0.03539999999999999,M=2
227,TS (arithmetic grid),0.02279999999999993,M=2
