,agent_name,cumulative_regret,exp_name
113,TS (geometric grid),0.010399999999999965,K=2
114,TS (geometric grid),0.01319999999999999,K=2
115,TS (geometric grid),-0.0041999999999999815,K=2
116,TS (geometric grid),-0.0011999999999999789,K=2
117,TS (geometric grid),0.009399999999999964,K=2
118,TS (geometric grid),0.0005999999999999339,K=2
119,TS (geometric grid),0.0048000000000000265,K=2
120,TS (geometric grid),0.013599999999999945,K=2
121,TS (geometric grid),0.008000000000000007,K=2
122,TS (geometric grid),0.016799999999999926,K=2
123,TS (geometric grid),0.009000000000000008,K=2
124,TS (geometric grid),0.013599999999999945,K=2
125,TS (geometric grid),0.006199999999999983,K=2
126,TS (geometric grid),-0.008400000000000074,K=2
127,TS (geometric grid),0.007800000000000029,K=2
128,TS (geometric grid),0.0041999999999999815,K=2
129,TS (geometric grid),0.0045999999999999375,K=2
130,TS (geometric grid),0.010199999999999987,K=2
131,TS (geometric grid),0.0038000000000000256,K=2
132,TS (geometric grid),0.00019999999999997797,K=2
133,TS (geometric grid),0.030000000000000027,K=2
134,TS (geometric grid),0.014799999999999924,K=2
135,TS (geometric grid),0.0033999999999999586,K=2
136,TS (geometric grid),0.0041999999999999815,K=2
137,TS (geometric grid),0.0025999999999999357,K=2
138,TS (geometric grid),-0.0010000000000000009,K=2
139,TS (geometric grid),-0.0044000000000000705,K=2
140,TS (geometric grid),0.006399999999999961,K=2
141,TS (geometric grid),0.006000000000000005,K=2
142,TS (geometric grid),0.00880000000000003,K=2
143,TS (geometric grid),0.00539999999999996,K=2
144,TS (geometric grid),0.012599999999999945,K=2
145,TS (geometric grid),0.007199999999999984,K=2
146,TS (geometric grid),0.0020000000000000018,K=2
147,TS (geometric grid),0.010000000000000009,K=2
148,TS (geometric grid),0.0023999999999999577,K=2
149,TS (geometric grid),0.0008000000000000229,K=2
150,TS (geometric grid),0.010199999999999987,K=2
151,TS (geometric grid),-0.015199999999999991,K=2
152,TS (geometric grid),0.012399999999999967,K=2
153,TS (geometric grid),0.007399999999999962,K=2
154,TS (geometric grid),-0.0020000000000000018,K=2
155,TS (geometric grid),0.018199999999999994,K=2
156,TS (geometric grid),0.008000000000000007,K=2
157,TS (geometric grid),0.0030000000000000027,K=2
158,TS (geometric grid),0.0028000000000000247,K=2
159,TS (geometric grid),-0.0041999999999999815,K=2
160,TS (geometric grid),-0.0006000000000000449,K=2
161,TS (geometric grid),0.006800000000000028,K=2
162,TS (geometric grid),0.0028000000000000247,K=2
163,TS (geometric grid),-0.0016000000000000458,K=2
164,TS (geometric grid),-0.0044000000000000705,K=2
165,TS (geometric grid),0.01200000000000001,K=2
166,TS (geometric grid),0.016000000000000014,K=2
167,TS (geometric grid),0.025599999999999956,K=2
168,TS (geometric grid),0.10099999999999998,K=2
